N,K,PLAYER_SKILL,BOT_LEVEL,TrialsPerCell,Cells,Total,Win,Lose,Draw,WinPct
3,3,NOVICE,EASY,40,9,360,333,3,24,92.50
3,3,NOVICE,NORMAL,40,9,360,323,10,27,89.72
3,3,NOVICE,HARD,40,9,360,334,5,21,92.78
3,3,AMATEUR,EASY,40,9,360,207,36,117,57.50
3,3,AMATEUR,NORMAL,40,9,360,223,51,86,61.94
3,3,AMATEUR,HARD,40,9,360,237,48,75,65.83
3,3,PRO,EASY,40,9,360,28,72,260,7.78
3,3,PRO,NORMAL,40,9,360,38,123,199,10.56
3,3,PRO,HARD,40,9,360,56,104,200,15.56
4,4,NOVICE,EASY,40,16,640,611,0,29,95.47
4,4,NOVICE,NORMAL,40,16,640,620,1,19,96.88
4,4,NOVICE,HARD,40,16,640,623,0,17,97.34
4,4,AMATEUR,EASY,40,16,640,450,14,176,70.31
4,4,AMATEUR,NORMAL,40,16,640,441,11,188,68.91
4,4,AMATEUR,HARD,40,16,640,449,11,180,70.16
4,4,PRO,EASY,40,16,640,16,29,595,2.50
4,4,PRO,NORMAL,40,16,640,15,25,600,2.34
4,4,PRO,HARD,40,16,640,4,12,624,0.63
4,5,NOVICE,EASY,40,16,640,0,0,640,0.00
4,5,NOVICE,NORMAL,40,16,640,0,0,640,0.00
4,5,NOVICE,HARD,40,16,640,0,0,640,0.00
4,5,AMATEUR,EASY,40,16,640,0,0,640,0.00
4,5,AMATEUR,NORMAL,40,16,640,0,0,640,0.00
4,5,AMATEUR,HARD,40,16,640,0,0,640,0.00
4,5,PRO,EASY,40,16,640,0,0,640,0.00
4,5,PRO,NORMAL,40,16,640,0,0,640,0.00
4,5,PRO,HARD,40,16,640,0,0,640,0.00
5,4,NOVICE,EASY,40,25,1000,1000,0,0,100.00
5,4,NOVICE,NORMAL,40,25,1000,1000,0,0,100.00
5,4,NOVICE,HARD,40,25,1000,1000,0,0,100.00
5,4,AMATEUR,EASY,40,25,1000,857,132,11,85.70
5,4,AMATEUR,NORMAL,40,25,1000,994,6,0,99.40
5,4,AMATEUR,HARD,40,25,1000,996,3,1,99.60
5,4,PRO,EASY,40,25,1000,770,204,26,77.00
5,4,PRO,NORMAL,40,25,1000,990,9,1,99.00
5,4,PRO,HARD,40,25,1000,993,6,1,99.30
5,5,NOVICE,EASY,40,25,1000,983,0,17,98.30
